run num,date,starttime ,,starttime ,start time,endtime ,duration,Acc power,exp. target,HD-Target ,Beam Pol,K1.8D1,K1.8mom,ESS,"CM
(1/2)",beam,Trig,1st trig Req,1st trig Acc,Solenoid,Ushiwaka,FT,SYIM,TM,beam,kaon,pion,MomS+,MomS-,MS+,MS-,IF-H +,IF-H-,IF-V +,IF-V-,DEF,Comment,Log Note,k- purity,"K- on target 
(DEF)","K- on target
(DEF*0.7)","Integrated K- on target
(DEF*0.7)",integrated time,kW*week,integrated kW*week,"true K
/spill","true pi
/spill",K/pi
31,,,,,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.56,,Au,negative,-369,1,200,345,K,pi,,,,,,,,,,,160.2,-110,3.3,-1.42,109.8,-110,3.81,-0.26,off,"[D5 scan] -1866, BPD=default",,,,,,,,,,,
32,,,,,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.56,,Au,negative,-369,1,200,345,K,pi,,,,,,,,,,,160.2,-110,3.3,-1.42,109.8,-110,3.81,-0.26,off,"[D5 scan] -1866, BPD=-0.2V",,,,,,,,,,,
33,########,20:07,00:00:00,20:07:00,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.56,,Au,negative,-369,1,200,345,K,pi,,,,,,,,,,,160.2,-110,3.3,-1.42,109.8,-110,3.81,-0.26,off,"[D5 scan] -1866, BPD=+0.2V",,,,,,,,,,,
34,########,20:36,00:00:00,20:36:00,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.56,,Au,negative,-369,1,200,345,K,pi,,,,,,,,,,,160.2,-110,3.3,-1.42,109.8,-110,3.81,-0.26,off,"[D5 scan] -1866, BPD=+0.4V",,,,,,,,,,,
35,,,,,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.56,,Au,negative,-369,1,200,345,K,pi,,,,,,,,,,,160.2,-110,3.3,-1.42,109.8,-110,3.81,-0.26,off,junk,,,,,,,,,,,
36,########,21:38,00:00:00,21:38:00,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.56,,Au,negative,-369,1,200,345,K,pi,,,,,,,,,,,160.2,-110,3.3,-1.42,109.8,-110,3.81,-0.26,off,"[D5 scan] -1366, BPD=+0.4V",,,,,,,,,,,
37,########,22:10,00:00:00,22:10:00,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.56,,Au,negative,-369,1,200,345,K,pi,,,,,,,,,,,160.2,-110,3.3,-1.42,109.8,-110,3.81,-0.26,off,"[D5 scan] -1366, BPD=+0.2V",,,,,,,,,,,
38,########,22:47,00:00:00,22:47:00,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.56,,Au,negative,-369,1,200,345,K,pi,,,,,,,,,,,160.2,-110,3.3,-1.42,109.8,-110,3.81,-0.26,off,"[D5 scan] -1366, BPD=default",,,,,,,,,,,
39,,,,,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.56,,Au,negative,-369,1,200,345,K,pi,,,,,,,,,,,160.2,-110,3.3,-1.42,109.8,-110,3.81,-0.26,off,"[D5 scan] -1366, BPD=-0.2V",,,,,,,,,,,
40,,,,,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.56,,Au,negative,-369,1,200,345,K,K,,,0,0,,,,,,,160.1,-109.9,3.3,-1.42,109.8,-110,3.81,-0.26,,[kaon record],,,,,,,,,,,
41,,,,,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.54,,Au,negative,-369,1,200,355,K,"K, beam/5",,,0,0,,,,,,,160.1,-110,3.3,-1.42,109.8,-110,2.82,0.84,,[CM scan] 355,,,,,,,,,,,
42,,,,,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.54,,Au,negative,-369,1,200,350,K,"K, beam/5",,,0,0,,,,,,,160.1,-110,3.3,-1.42,109.8,-110,2.82,0.84,,"[CM scan] 350, junk data?",,,,,,,,,,,
43,,,,,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.54,,Au,negative,-369,1,200,345,K,"K, beam/5",,,0,0,,,,,,,160.1,-110,3.3,-1.42,109.8,-110,2.82,0.84,,[CM scan] 345,,,,,,,,,,,
44,,,,,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.54,,Au,negative,-369,1,200,340,K,"K, beam/5",,,0,0,,,,,,,160.1,-110,3.3,-1.42,109.8,-110,2.82,0.84,,[CM scan] 340,,,,,,,,,,,
45,,,,,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.54,,Au,negative,-369,1,200,335,K,"K, beam/5",,,0,0,,,,,,,160.1,-110,3.3,-1.42,109.8,-110,2.82,0.84,,[CM scan] 335,,,,,,,,,,,
