run num,date,starttime ,,starttime ,start time,endtime ,duration,Acc power,exp. target,HD-Target ,Beam Pol,K1.8D1,K1.8mom,ESS,"CM
(1/2)",beam,Trig,1st trig Req,1st trig Acc,Solenoid,Ushiwaka,FT,SYIM,TM,beam,kaon,pion,MomS+,MomS-,MS+,MS-,IF-H +,IF-H-,IF-V +,IF-V-,DEF,Comment,Log Note,k- purity,"K- on target 
(DEF)","K- on target
(DEF*0.7)","Integrated K- on target
(DEF*0.7)",integrated time,kW*week,integrated kW*week,achievement rate,CDH1*K*n scaler,CDH1*K*p scaler,DAQ eff.,CDH1*K*n,CDH1*K*p,integrated CDH1*K*n,integrated CDH1*K*p
53,,,,,2016/6/6 2:22,2016/6/6 3:20,00:57:03,41.05,D2,Au,negative,-369,1.0 ,200 ,345,K,"(CDH1*K, K/15k, beam/70k) x (NC, charge, CDH1*K/100, CDH2*K/20, beam/70k, K/15k)",8.6k,7k,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,160.1,-109.9,3.3,-1.41,109.8,-110.1,3.82,-0.25,on,"[D2 production] (pi/K)*vBVC and CDH3 were removed, NC*vCVC*vBVC=>NC",,23:24:00,110.4M,77.3M,216.5M,2:40,0.23 ,0.65 ,,,,,,,,
54,,,,,2016/6/6 3:20,2016/6/6 4:19,00:57:01,40.81,D2,Au,negative,-369,1.0 ,200 ,345,K,"(CDH1*K, K/15k, beam/70k) x (NC, charge, CDH1*K/100, CDH2*K/20, beam/70k, K/15k)",8.6k,7.1k,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,160.1,-109.9,3.3,-1.41,109.8,-110.1,3.81,-0.25,on,[D2 production],,23:16:48,109.5M,76.7M,293.2M,3:37,0.23 ,0.88 ,,,,,,,,
55,,,,,2016/6/6 4:19,2016/6/6 5:20,00:58:44,40.84,D2,Au,negative,-369,1.0 ,200 ,345,K,"(CDH1*K, K/15k, beam/70k) x (NC, charge, CDH1*K/100, CDH2*K/20, beam/70k, K/15k)",8.8k,7.1k,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,160.1,-109.9,3.3,-1.41,109.8,-110.1,3.82,-0.25,on,[D2 production],,23:26:53,112.6M,78.8M,372.0M,4:36,0.23 ,1.11 ,,,,,,,,
56,,,,,2016/6/6 5:22,2016/6/6 6:20,00:57:37,40.68,D2,Au,negative,-369,1.0 ,200 ,345,K,"(CDH1*K, K/15k, beam/70k) x (NC, charge, CDH1*K/100, CDH2*K/20, beam/70k, K/15k)",8.6k,7k,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,160.1,-109.9,3.3,-1.41,109.8,-110.1,3.82,-0.25,on,[D2 production],,23:16:48,109.8M,76.9M,448.9M,5:33,0.23 ,1.34 ,,,,,,,,
57,,,,,2016/6/6 6:20,2016/6/6 7:19,00:57:35,41.34,D2,Au,negative,-369,1.0 ,200 ,345,K,"(CDH1*K, K/15k, beam/70k) x (NC, charge, CDH1*K/100, CDH2*K/20, beam/70k, K/15k)",9.8k,7.7k,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,160.1,-109.9,3.3,-1.41,109.8,-110.1,3.82,-0.25,on,[D2 production],,23:29:46,111.3M,77.9M,526.8M,6:31,0.23 ,1.58 ,,,,,,,,
58,,,,,2016/6/6 7:19,2016/6/6 8:19,00:58:56,41.14,D2,Au,negative,-369,1.0 ,200 ,345,K,"(CDH1*K, K/15k, beam/70k) x (NC, charge, CDH1*K/100, CDH2*K/20, beam/70k, K/15k)",8.8k,7.3k,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,160.1,-109.9,3.3,-1.41,109.8,-110.1,3.82,-0.25,on,[D2 production],,23:18:14,112.7M,78.9M,605.7M,7:30,0.24 ,1.81 ,,,,,,,,
59,,,,,2016/6/6 8:20,2016/6/6 9:20,00:58:52,41.27,D2,Au,negative,-369,1.0 ,200 ,345,K,"(CDH1*K, K/15k, beam/70k) x (NC, charge, CDH1*K/100, CDH2*K/20, beam/70k, K/15k)",8.7k,7.2k,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,160.1,-109.9,3.3,-1.41,109.8,-110.1,3.82,-0.25,on,[D2 production],,23:22:34,113.9M,79.8M,685.5M,8:29,0.24 ,2.05 ,,,,,,,,
60,,,,,2016/6/6 9:20,2016/6/6 10:20,00:58:45,40.93,D2,Au,negative,-369,1.0 ,200 ,345,K,"(CDH1*K, K/15k, beam/70k) x (NC, charge, CDH1*K/100, CDH2*K/20, beam/70k, K/15k)",9.2k,7.7k,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,160.1,-109.9,3.3,-1.41,109.8,-110.1,3.82,-0.25,on,[D2 production],,23:28:19,114.4M,80.1M,765.5M,9:27,0.24 ,2.29 ,,,,,,,,
61,,,,,2016/6/6 10:21,2016/6/6 11:20,00:59:43,40.96,D2,Au,negative,-369,1.0 ,200 ,345,K,"(CDH1*K, K/15k, beam/70k) x (NC, charge, CDH1*K/100, CDH2*K/20, beam/70k, K/15k)",8.7k,7.2k,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,160.1,-110,3.3,-1.41,109.8,-110.1,3.82,-0.25,on,[D2 production],,23:22:34,115.5M,80.8M,846.4M,10:27,0.24 ,2.53 ,,,,,,,,
62,,,,,2016/6/6 11:22,2016/6/6 12:20,00:56:50,40.95,D2,Au,negative,-369,1.0 ,200 ,345,K,"(CDH1*K, K/15k, beam/70k) x (NC, charge, CDH1*K/100, CDH2*K/20, beam/70k, K/15k)",8.8k,7.3k,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,160.1,-110,3.3,-1.41,109.8,-110.1,3.81,-0.25,on,[D2 production],,23:22:34,109.1M,76.4M,922.8M,11:24,0.23 ,2.76 ,,,,,,,,
